Sl. No.,State/UT,2019-20 - ICT Lab - Elementary,2019-20 - ICT Lab - Secondary,2019-20 - ICT Lab - Total,2020-21 - ICT Lab - Elementary,2020-21 - ICT Lab - Secondary,2020-21 - ICT Lab - Total,2020-21 - Smart Classrooms - Elementary,2020-21 - Smart Classrooms - Secondary,2020-21 - Smart Classrooms - Total,2021-22 - ICT Lab - Elementary,2021-22 - ICT Lab - Secondary,2021-22 - ICT Lab - Total,2021-22 - Smart Classrooms - Elementary,2021-22 - Smart Classrooms - Secondary,2021-22 - Smart Classrooms - Total
1,Andman and Nicobar Islands,0,0,0,2,7,9,162,0,162,0,2,2,0,0,0
2,Andhra Pradesh,0,296,296,445,0,445,0,0,0,0,917,917,1096,0,1096
3,Arunachal Pradesh,0,21,21,29,0,29,0,0,0,39,4,43,0,0,0
4,Assam,200,64,264,391,237,628,0,0,0,1319,540,1859,1115,2528,3643
5,Bihar,481,0,481,0,0,0,0,0,0,0,0,0,2739,0,2739
6,Chandigarh,0,0,0,0,0,0,0,0,0,2,0,2,11,78,89
7,Chhattisgarh,0,0,0,0,0,0,0,2624,2624,0,67,67,1705,1009,2714
8,Delhi,0,0,0,0,0,0,0,78,78,0,0,0,0,895,895
9,Dadra and Nagar Haveli and Daman and Diu,0,0,0,10,0,10,0,0,0,28,0,28,59,25,84
10,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Gujarat,0,300,300,0,0,0,1748,67,1815,0,0,0,3806,529,4335
12,Haryana,0,0,0,0,0,0,0,1425,1425,167,65,232,730,424,1154
13,Himachal Pradesh,0,55,55,0,218,218,0,0,0,317,163,480,115,1517,1632
14,Jammu and Kashmir,224,173,397,0,408,408,0,0,0,0,220,220,460,58,518
15,Jharkhand,0,488,488,375,351,726,0,0,0,522,374,896,0,519,519
16,Karnataka,0,0,0,0,0,0,0,0,0,764,0,764,0,0,0
17,Kerala,0,0,0,0,0,0,0,0,0,0,0,0,115,0,115
18,Ladakh,0,2,2,12,37,49,0,0,0,6,0,6,38,0,38
19,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,441,441,0,700,700
21,Maharashtra,708,0,708,0,0,0,0,0,0,0,0,0,663,224,887
22,Manipur,58,50,108,78,39,117,0,0,0,16,12,28,22,289,311
23,Meghalaya,0,19,19,123,9,132,0,0,0,23,2,25,0,0,0
24,Mizoram,0,0,0,40,23,63,0,0,0,0,0,0,0,201,201
25,Nagaland,19,0,19,0,0,0,191,282,473,0,0,0,74,0,74
26,Odisha,715,0,715,0,0,0,0,384,384,302,0,302,3946,525,4471
27,Puducherry,0,0,0,10,0,10,0,0,0,6,0,6,0,100,100
28,Punjab,0,0,0,66,6,72,0,0,0,435,0,435,0,2872,2872
29,Rajasthan,32,0,32,108,417,525,59,3231,3290,0,398,398,135,5374,5509
30,Sikkim,13,4,17,3,1,4,0,0,0,76,6,82,70,168,238
31,Tamil Nadu,0,0,0,0,441,441,0,0,0,1784,109,1893,0,865,865
32,Telangana,0,0,0,20,0,20,0,0,0,0,0,0,0,3010,3010
33,Tripura,74,0,74,59,0,59,0,0,0,49,190,239,0,249,249
34,Uttar Pradesh,0,0,0,0,0,0,5043,0,5043,0,0,0,0,543,543
35,Uttarakhand,0,0,0,0,0,0,233,696,929,0,240,240,709,0,709
36,West Bengal,0,0,0,125,0,125,0,0,0,1173,0,1173,0,1966,1966
Total,Total,2524,1472,3996,1896,2194,4090,7436,8787,16223,7028,3750,10778,17608,24668,42276
